Location1,Location2,Driving,Walking
BR2522,ACAR,2,13
BR2522,BRNS,3,15
AFHQ3,AC3100,3,16
PTLS3,SM1440,4,24
AU1994,AV3110,2,9
FRXI3,TL1192,5,29
SM1440,RG1616,2,13
SD1415,RG1616,5,26
GO2074,HM7076,3,16
GO2074,AL1101,1,5
GO2074,PQ7567,3,14
TE3279,CU1207,2,10
1GFE1,GODS,6,35
RN1812,5O1371,30,175
CS2827,SM1796,1,5
GRC1,CS2633,4,20
GRC1,OLM,3,14
GRC1,CV2407,3,18
BO1118,BE3223,3,14
CS1046,BR1267,2,13
MMAI5,GU2161,1,5
JA3379,VI3275,37,220
JA3379,BRVS,2,11
JA3379,SE2762,3,14
MA1247,AK2386,2,10
MA1247,RS1643,2,12
FT3014,RC2358,2,10
FT3014,CF1065,4,21
CM1725,BC2653,2,10
CM1725,RBVM1,4,21
CM1725,BVCT1,3,16
CM1725,GRC1,2,11
PR3358,PD2121,80,479
PR3358,RB1068,2,9
AL9726,PFMA2,2,12
AL9726,VL8486,2,10
SHRM2,SRHR,1,5
PR3606,URBP4,2,11
PR3606,ML2255,5,25
PR3606,CP1838,3,18
CF1065,AN8378,58,347
CF1065,LW3241,59,351
CF1065,251307,3,15
RTNM,251307,1,6
AC3100,MT1263,3,14
AC3100,BR2924,3,16
FC3658,AC2182,3,16
SRHR,CA2227,3,15
PJ6116,PG3116,2,11
IP3228,CV7713,5,28
IP3228,IS2129,3,15
IP3228,LG1432,3,17
BR2411,MI2908,2,9
BR2411,STLZ2,3,17
BR2411,CP4140,2,10
LU2292,LA2622,2,11
FN2615,VD8079,4,24
FN2615,UR3110,2,12
RT1803,SA1252,3,16
PS2265,PA2190,93,556
SO2638,DM6400,2,12
URBP3,PR3606,2,9
PA5518,SRLZ1,3,14
PA5518,IF2051,3,14
CT1621,LUG2,2,9
CT1621,HP3242,2,7
TM2387,OU3334,3,14
RR3392,EQ2023,3,16
MC8901,PR3117,2,11
MC8901,SC1303,30,176
MC8901,SCAT3,2,9
MC8901,TR2349,3,13
SB3070,MA1103,4,22
SB3070,MAIA,3,15
SB3070,LU2292,2,9
CAVE4,LGAJ3,1,5
GG5654,FM2013,2,9
SBNT3,PR3117,3,15
SBNT3,SDB5,2,12
SBNT3,PRDJ2,3,19
SBNT3,PL1442,X,9
SC9454,CH1986,2,8
AV6817,AM2876,3,18
PR2047,RP2281,2,10
PR2047,RG1742,4,22
TR1217,PR2047,2,8
TR1217,RGLO1,2,11
DTR,LI3265,2,8
DTR,RFAR1,1,4
LV2418,JL1982,3,15
MT2392,CE9760,2,8
LN2718,PR2047,4,19
CS3106,MA1352,3,14
BF1223,AN2044,4,21
BF1223,PD2792,2,11
JL1982,ME1542,2,11
JL1982,CN2872,2,9
BR1365,SGM,1,3
5O1371,HB7334,23,133
5O1371,BV2655,26,153
5O1371,DCPF1,2,8
MA1352,RN1812,2,12
HS1569,MV1869,2,12
MV1869,SA6039,2,8
R15,R1,2,11
RT3298,EB2715,2,12
AM2876,PC3273,3,17
AM2876,JL1982,2,8
AM2876,LV2418,4,20
GL2576,SGMC1,2,13
R1,LI3225,2,12
CO1359,BR1365,3,14
CO1359,CO5851,3,13
R10,R7P1,2,12
PR5671,JL8784,2,9
DCPF1,SR2097,4,21
PTLH,OL7169,2,7
DCPF2,5O1371,2,7
BFTM4,LD2795,3,13
CO5851,CCOR,1,5
PFMA2,IGAL1,2,7
CCOR,CO1359,2,9
PD2792,LD1103,3,14
PD2792,IGAL2,3,18
PD2792,BFTM4,2,12
PD2792,VL2574,88,527
PD2792,GF2292,37,218
ESPL1,QS1717,3,17
ALCF1,AL9726,3,15
CSA3,HM1218,4,20
CN2872,AM2876,2,13
RG1742,GG5654,2,11
AS1403,CR1176,2,11
AGN,VL2089,2,12
PR3366,RCH1,3,15
JL8784,VLG5,4,19
RGLO2,TR1217,2,10
MR1546,GA3330,3,17
MD2820,MDLP,2,9
MD2820,RRDL2,2,12
BC3087,LG8407,4,23
PDC,LG5831,3,17
CC1093,LG2865,1,6
FE3285,FE1619,3,17
FE3285,PDLF1,3,15
SJ2138,AB1593,4,20
SJ2138,SJ2912,2,9
SJ2138,1SJB1,2,8
PT4247,CR2802,3,15
CMSM1,BVC2,2,13
IC3257,251307,36,214
LV2211,CO2258,2,8
LV2211,PR2787,2,7
LV2211,COB6,2,10
CC2616,CR2375,2,10
CC2616,ROSA1,3,17
JA1326,VR1733,4,22
FM2013,AS1756,3,14
BVC2,LV2211,2,10
TRH3,MA1592,4,21
AP1292,CMSM1,2,12
RN1046,PQ5832,2,10
CR2375,RT3298,2,11
LN1366,NE8738,3,13
TR3063,CV9711,2,12
CE9760,CC1093,3,15
ES1200,BL2486,3,16
BV1043,HM4316,2,10
SR2078,PI3389,5,30
SR2078,GC3111,3,14
SR2078,JB2522,4,23
LI6201,PA3330,2,12
PV2805,JB2522,3,16
RA2114,CZ3100,3,14
RA2114,MR7780,2,10
CC3195,AR1472,2,7
CC3195,ST1459,51,303
CD2268,PR2680,4,22
CD2268,TRH3,3,14
CD2268,JP6553,41,243
ISRH4,PAP2,1,7
MT2026,SA5768,2,8
FR4488,IS1549,3,14
PN2307,TV1859,3,17
SHRM4,QC2515,2,11
RB6728,AB3283,2,8
GC2190,TR2349,2,11
GC2190,PR2680,3,14
GC2190,FT2297,4,24
PM1309,MV6848,2,10
ICDF1,CD2268,3,15
ICDF1,TR3063,2,12
BV2547,MT1154,3,13
BV2547,251307,39,231
FT2623,ID3171,2,11
CV9711,HM4316,3,15
CV9711,CM2834,2,12
IPO2,CSJ4,3,17
BCG,SP2072,20,120
AR1568,IG2179,3,14
AVF2,CS2633,5,26
MA3386,LFC,3,19
MA3386,AV1307,3,18
BSB,BCG,2,10
IK1877,MA3386,3,16
IK1877,FT2623,5,26
IK1877,LFC,4,19
GU2161,CZ1297,3,17
GU2161,.,1,4
PISC,BSB,2,11
PI1074,ES2259,4,19
RE3052,FM1760,3,15
RE3052,CS1902,3,17
CR1176,LV2418,4,21
PL1576,PI1074,2,12
DBT2,GS2634,4,23
PC3273,CO5851,3,15
PC3273,1P1556,3,16
FR1082,OL1393,3,17
FR1082,RO1677,2,8
TP2827,VD2320,2,12
TP2827,MSB1,4,19
BLGT2,AZ1920,2,8
SR2097,FM2013,2,9
SR2097,DCPF2,4,20
PQ2065,LG7160,3,13
PQ2065,BLGT2,2,8
SGM,FR8784,2,11
PSP1,IM6138,1,4
LG7160,CP2029,3,16
CP2029,PR1831,2,8
ES2500,SR2844,2,10
ES2500,ILH2,2,9
MA1103,AL2223,2,12
TNG2,HU1120,2,12
TNG2,CMPD2,2,8
BLGT1,PQ2065,2,8
SGMC1,DD2008,3,14
JFC,FSTO1,2,8
TNG1,PI2397,2,8
MC2794,BF2552,2,8
MC2794,ICAM1,2,9
EQ3378,VL1487,3,15
MAIA4,SB3070,2,9
MF6357,UC4142,2,13
MF6357,PLUZ1,4,20
MF6357,LI3265,3,14
MF6357,PR2907,3,13
MF6357,DTR,2,11
BO1594,TE3279,2,11
AA1357,JP2808,2,10
PR2907,PV2805,3,15
BLM,MC8901,2,10
BLM,BLFZ1,2,10
PN2287,TARG1,3,14
DL1648,FL1848,5,25
CN2845,DL1648,4,20
CN2845,PA5518,6,33
IF2051,CN2845,4,20
1M2825,MA1592,1,4
1M2825,HSA,3,19
1M2825,HS3451,3,18
VR1999,RB5549,4,20
VR1999,RO1870,3,17
VDES,VDE,2,10
E109,VAL1,3,14
PI2982,SRLZ1,2,8
PI2982,MF6357,3,16
PI2982,PO1707,3,14
PI2982,DTR,2,8
PI2982,PLUZ1,2,11
PS7930,SP5946,2,8
LPDZ,BT1769,4,21
LPDZ,PL1442,X,7
LPDZ,QS1717,X,9
PLUZ1,PG1573,2,10
BT1769,ESPL1,6,32
BT1769,PR3117,4,22
BT1769,SL1176,3,15
CL8545,PA1227,2,7
CL8545,CMV,3,15
PB3401,CSS3,2,9
PB3401,PC3146,2,7
IG3316,1E1765,3,15
BL2486,NAVE2,3,15
C21640,BF1835,3,18
C21640,DJOA4,2,12
C21640,PR2162,2,11
C21640,BL2486,5,28
CO1721,AZ1624,4,20
CO1721,HIPD,16,96
TA3010,VI1259,2,8
AR3384,RE3044,2,11
TR2444,AF3087,3,15
PC3064,PD1465,2,10
CS2446,MT2299,2,11
PC1453,CA1424,2,9
ROSA1,RT3298,2,10
RRDL1,MD2820,3,13
LG2865,TMPR2,1,6
GS2804,MA1247,4,20
PCNS,CSRT3,3,18
DIU1,MF6357,2,9
FM1760,LFC2,3,15
LFC2,IK1877,4,20
LFC2,MA3386,3,19
MI1943,MA2767,2,8
PT2659,MI1943,2,11
AV1307,PT2659,2,12
NO6413,JA1259,3,17
312129,FR1082,2,10
JNN2,CR2489,2,10
RC1938,LN1366,4,19
AV2513,RS1089,8,46
BRCV,MS7550,2,13
PS2343,MP1840,2,12
PS2343,FG2887,4,19
AA1662,AC1092,2,10
AS1358,EN1111,12,69
AS1358,IP1771,1,5
IA5883,DE3073,2,11
FR8784,CR2125,2,11
FR8784,BR1365,3,14
FR8784,GL2576,3,15
BNV2,AMSE,3,15
EN3031,PA8620,3,14
EN3031,CH2788,X,7
EN3031,NOC,X,7
SG2783,MP8020,4,22
EC2700,VF1357,2,11
OU3860,EN3031,3,14
OU3860,FL1848,5,25
OU3860,CH2788,X,10
ADM1,PR1149,5,27
ADM1,BTC2,3,15
CA2338,MO3337,3,17
CA2338,MC8430,1,6
CA2338,AR1472,X,11
SDB5,AA1146,2,8
AA2951,IA3230,2,12
JMP1,ADM1,6,37
VF1357,PT4247,2,13
ESS1,PUNV,2,12
CFM,GC2640,5,27
CS1902,AM2406,2,12
SCAT3,PD1658,2,12
AC1873,VG4578,98,586
MN3358,NCON1,2,7
CM1356,PA1372,2,10
HS6137,AZ1624,2,13
HM1129,CS1902,2,11
EN1111,AR8113,4,23
EN1111,AR2202,5,30
EN1111,JF2460,4,20
IB9980,ST3085,2,11
SEMR,VALE,2,13
BG2959,CCL,2,10
GO2195,GG2047,2,11
GO2195,1B2611,3,14
TAN,CV3137,2,9
MV6848,CE2298,3,15
DV2293,MR1844,3,14
EC,1ZC1,3,16
AL3304,JF2785,2,10
1G2638,FA6346,8,45
1G2638,1PEI1,4,22
1P1556,1G2638,6,32
BI1585,DJ3116,2,11
BI1585,JD2306,67,400
FO8720,IA5883,2,7
FO8720,PDLF2,4,21
PA1227,RTNM,2,9
IA3230,MA4105,2,9
OL8727,GC1513,2,12
SZEN1,MP8020,1,5
1DBR1,1M2825,4,22
LI4384,CO2295,2,7
LI4384,MP1840,4,22
JFAL1,DAG1,2,9
ILHA,VL2089,4,23
ILHA,PR3358,4,21
STLN1,ASP2,3,14
1ADA1,CI2941,9,52
VL2089,PR3358,1,6
VL2089,AF3339,4,23
1ZC1,1CAP1,1,6
1CAP1,1MST1,2,11
NOB1,ED1099,3,17
NOB1,CR2390,3,18
EL1156,JG2785,2,9
PI2231,AC3052,3,17
JG2785,LVP,2,9
INFH2,TL1192,83,498
VAL,CP2737,3,13
AGOM1,RM1237,2,12
LG2592,RC1938,3,18
LG2592,PR2125,9,49
LG2592,CR2601,4,20
BVCT1,CZ3100,3,17
PS1619,CP2029,2,8
RGR1,AP1292,3,15
CO1691,AA1146,5,27
CO1691,PR8534,3,17
CO1691,1LOI3,4,21
CO1691,CLRG,2,10
AALB,DJ2951,2,10
MC1804,MA1037,2,7
TARG1,AR2581,3,15
CR3043,RBSS2,6,32
CR3043,IR2166,2,13
BS5,BC2653,3,13
CGG,GODC1,1,7
AR1635,JD2306,34,200
TV1859,AZ1920,3,13
1LOI3,1SBNT1,2,9
CC4733,GD1451,63,379
DJ3116,SO3173,3,15
DJ3116,LB5790,9,50
FE1619,CPRN4,1,6
FE1619,ML1776,2,11
BA9686,PR1151,2,11
BA9686,IGAL1,3,16
IGAL1,PD2792,4,20
EIR3,BF1835,2,13
MA4105,SC1341,2,11
DSS,IP3228,2,8
CAZ,SC1341,4,22
NAVE2,C21640,3,13
MRD,C21640,2,11
DQL1,AL2408,21,122
BMAF1,SR2852,1,6
CN2881,BR2897,2,13
CCBR,SV3016,2,9
AN2044,CS1046,2,9
AN2044,LD2795,2,8
BR2897,QT1838,2,9
UR9405,PR3606,2,11
UR9405,URBP3,2,9
SD1832,MRS2,4,19
SD1832,FRB,6,34
SD1832,AB1593,4,25
SD1832,FZIN1,6,37
LR3170,JB9828,3,15
LR3170,ASZE1,4,24
MF1,VLN1,2,10
IS1549,AC1873,2,8
TP1508,EQ3378,3,14
TP1508,SC8866,4,20
TP1508,TMEI1,2,8
VN6869,PC2423,3,17
PL8415,CS6251,2,11
SS6989,ES1912,2,9
PA2190,GU2273,2,8
PA2190,CH1464,88,526
BR1687,AS2101,4,19
SP4176,PS7930,2,11
AA2740,SR1357,2,10
FALC,CR2384,2,8
PD1465,TC1359,3,14
CSJ4,IS2129,3,17
PC2166,PD2792,31,184
AEPT1,BR2743,3,14
MO2705,OG1585,2,12
DRB2,IS7127,2,10
PL1005,CS1562,3,14
PL1005,FG2606,3,18
MFB2,MS1,2,11
MFB2,LGAJ3,X,9
MFB2,GN2503,X,9
MFB2,PL1442,X,8
MFB2,CAVE4,X,10
FL1588,TL2295,2,9
FL1588,SMMM1,2,12
FL1588,MT3103,21,126
FL1588,GU2701,20,115
CT8136,AA2740,2,8
VA2818,ST2995,2,9
RC2158,VN4702,2,11
TH3051,LN2718,3,17
OG1585,DRB2,2,9
OG1585,RCT1,2,10
C31794,BH1080,2,8
QS1717,JM1319,2,12
QS1717,ESPL2,3,18
SMMM1,SM3282,2,12
EQ7222,PA3175,4,19
CV3137,AN1376,92,548
CV3137,MDLI2,2,12
MTD,AN1376,4,24
SM3282,SMMM2,3,14
SM3282,LA1068,4,22
SM3282,MO2705,4,20
LA1068,AR4770,1,6
LA1068,TH3051,3,14
GU2701,AR2471,1,7
ST2858,OT5528,2,13
CS1562,FG1305,3,15
FG1305,CS2446,2,8
PT2373,GD2009,2,11
PT2373,PD1337,2,8
CV7713,CO7757,4,19
CV7713,CP1587,3,14
CN2443,PI9422,2,12
IS2070,IB9980,2,13
AV3110,BJ2736,2,12
BL2038,TL1192,53,317
BL2038,AM1919,2,10
AL3039,IS2070,2,12
AL3039,TLHR3,3,14
AL3039,UF2412,4,19
BRA1,ST2136,3,14
CS6251,VN6869,3,13
CS1351,AD4498,3,15
SS8901,BZ2583,3,14
ST2995,ST9093,3,14
TP3926,PS2465,2,8
TP3926,SG2783,2,9
AR4770,RCT2,2,11
CV3203,FE2668,2,8
CR2359,DN4347,2,9
CR2359,AFHQ3,2,8
AS3038,CS2827,2,12
AS3038,SS6989,4,21
MA3385,CR2359,2,12
MA3385,GO2074,2,7
PC2423,PC2166,2,12
AZ2586,CN2794,3,13
SM1796,SM3282,3,13
SM1796,PA2190,16,95
TL2295,AM1919,3,15
DA1191,PC8907,3,13
HM7076,SE1728,2,10
AP1644,ST1776,3,18
AP1644,RNSG2,2,7
PM1344,PP6997,2,13
PM1344,CC3195,47,280
ST1485,CM3394,2,10
ST1485,ES3351,3,14
ST9093,ST1485,2,10
VI1259,IC3257,3,16
CV1086,CB3132,2,11
AVM1,MT1263,2,8
MF7909,PA2190,2,12
CB3132,VA2818,3,14
CB3132,CA3179,4,21
RM1237,QB3392,2,12
RM1237,LGDM2,1,7
DA2913,CV1086,2,8
ES3351,BR1687,3,13
ED2537,MT3363,2,12
ST1459,TF2,2,10
AG2619,VTC2,3,16
AM2406,RE3052,3,17
TM8057,RM1237,3,13
AE8238,AG2619,2,7
AE8238,1ZC1,3,14
NOC,JM7842,8,47
NOC,GO2195,9,50
NOC,AR1472,5,30
BI2477,MC8430,4,20
BI2477,PA9908,3,14
BI2477,MCE4,3,17
BI2477,CH2788,X,9
BI2477,NOC,X,6
COB6,RGR1,2,11
1T2785,RF2257,3,16
1T2785,CDL2,2,13
VTC2,FTN2,1,7
PQBT3,MA3385,2,10
CO2258,AGOM1,2,10
CO2258,COB6,1,6
SA1817,PC8907,3,14
SA1817,AVM1,1,6
SA1817,DJ1,3,14
RF2257,RT3208,2,8
PR2787,MJ1738,2,12
MT1263,GO6161,2,12
MT1263,SA1817,2,11
HM4316,ICDF1,2,10
SP1779,ME2272,90,537
SP1779,MA4323,3,17
SP1779,PD2401,4,23
QTI,RA1873,4,21
PQ7567,MA3385,3,14
LO1726,SP1779,2,11
GO6161,PQ7567,5,27
GO6161,LO1726,2,10
UF2412,IP3228,3,14
PC8907,ETRP2,2,9
AH1768,DA1191,3,17
AH1768,FN1845,96,576
SE1728,SD1415,3,14
CO7757,HS4476,3,13
CO7757,FG2887,3,18
CO7757,VF2780,3,14
BR2924,MT1263,2,11
BR2924,PQ7567,4,20
BR2924,GO6161,2,8
CZ3100,QT5084,1,6
CZ3100,BC2653,3,19
SA2701,AU1994,2,13
SA2701,VD2175,4,22
VN5229,MR1281,2,12
PR2680,TR2349,4,19
PR2680,FIG,3,15
PR2680,LA7245,2,10
PR2680,JN5673,4,24
CO2295,PS2343,2,8
CO2295,DC4376,6,33
ED1099,AA2951,4,19
ED1099,TI1747,5,28
ED1099,FV2324,3,13
CI2941,PP2277,2,12
CI2941,CA7045,9,52
MT3363,AGAS2,2,10
AS2101,ED2537,21,124
AS2101,BV4597,3,14
LG8407,RAZ,3,14
LG8407,BN7548,4,24
BV4597,C31794,2,9
RS1643,TM8057,2,11
MJ1738,CDL2,2,12
GD2009,QB3392,2,12
MDCS1,PD1337,2,7
QT1373,AL3304,2,13
LGDM2,CO2258,2,9
CH1814,GE2978,4,20
CH2788,NOC,2,10
RDA2,PT2373,2,8
DI2395,DV2293,5,25
AL1981,BA2390,4,21
AL1981,SA,4,20
DV2,DV2293,3,15
CM3198,PDC,4,19
VE1193,CM2795,4,20
SO1,CC2616,2,10
CS1853,SR1833,3,14
CM1430,VE1193,2,12
CP1838,ML2255,3,14
SA6039,MI9473,2,8
SA6039,MC8430,42,248
SR2488,EM2080,2,12
SO3173,CC2616,2,11
SO3173,LG4030,2,11
SO3173,ARR,2,11
ARR,FMPT,2,12
SR1833,DP3366,22,131
SR1833,BRRS,2,8
GA1081,BR4175,46,272
GA1081,CDPD,2,11
EB2715,SR2488,2,10
BR2480,ACDR1,2,11
CN2794,ZO1512,43,254
GE2978,CM3198,3,14
GE2978,DSRR1,2,9
GE2978,GN2503,3,19
IS7127,CV3203,2,9
IS7127,DR1961,4,22
LG5831,SR1833,2,12
LG5831,HG2228,3,15
LG5831,BRRS,1,7
ES1431,FE3285,2,8
ES1431,HS1848,2,12
ES1431,AS1358,6,31
RU2015,RA2810,3,19
RU2015,SRP1,3,13
RU2015,SE2762,3,18
SMMM2,FL1588,2,9
CMPD2,PD1528,3,17
AGAS2,SX2214,3,13
ACDR1,LB5790,2,9
AGAS1,MT3363,2,8
BLFZ1,JN5673,2,10
BLFZ1,GC2190,4,20
RFZ1,MO7922,2,10
CCL,AL1204,1,6
CM2795,PS2265,5,25
FC8390,PL2535,3,17
FC8390,GRJ,3,18
VI1044,IM2798,3,14
VI1044,JP4078,2,13
VI1044,JA3379,2,9
RF8979,SP4176,3,13
BC4812,CD2268,44,263
JA6625,CH2788,4,22
LFC,FM1760,3,14
LDDM,RE3339,2,7
PM1446,RC2852,1,6
MN2732,CT1901,3,13
CR4246,TV1945,3,16
MSB2,TP2827,3,19
RG1616,LI6201,6,31
RG1616,HIPD,6,33
TV1945,TV3777,2,8
1SBNT1,LPDZ,2,10
1SBNT1,PL1442,X,9
FG2606,PL8415,4,20
FG2606,RGM,2,11
PR2962,PA3175,3,18
PR2962,CALE,2,8
CS9997,CR1955,4,24
JM7842,PR2962,3,18
JM7842,GG2047,2,10
JM7842,DP3366,2,11
DAG1,AG2619,1,6
STP1,MRD,2,10
PA8620,BI2477,3,16
PA8620,CH2788,X,7
PA8620,NOC,X,5
GG2047,CH2788,8,48
BVCM3,1B2611,3,13
BVCM3,BC2653,2,10
BVCM3,BV1043,3,14
BVCM3,JM7842,4,19
PR1759,GC2190,3,13
PR1759,HSM2,2,10
RBVM1,JM7842,3,16
MP3389,EZ2480,3,14
MP3389,RA2810,2,13
MP3389,MP2274,2,11
AR2581,PH1918,4,23
AR2581,TARG2,3,16
AR2581,RC2815,2,11
RM2282,AS1403,3,14
RGLO1,PM6154,3,16
1E1765,1R3286,5,26
MAIA3,MAIA,2,11
MAIA3,FO4447,2,12
PR8534,GGF,1,6
PR8534,GGF1,1,5
AS3353,DA2913,2,12
1SJB1,IR2166,2,8
TC1359,PTLH,2,13
SC8866,ME2272,2,13
SC8866,SC9454,2,12
SC8866,ST2858,4,22
NCON1,EIP1,2,10
OL1393,NO6413,4,22
PI2886,5O1371,31,185
GN2503,CM4611,2,10
QU2529,AR1568,5,26
VR5548,TM2387,1,7
LGAJ3,SP2072,3,14
QN2944,JC1294,2,13
RECA1,JFAL1,2,9
CA7045,BR2368,2,13
RM1146,CH1814,5,26
RM1146,RECA1,5,29
CO7356,RF8979,3,14
EIP1,SZEN1,2,11
HSM2,FG2887,4,21
OT5528,IS2125,2,10
LUG2,SOCR,2,8
RCH2,PR3366,3,17
EQ2023,PR2255,2,9
MR1281,PC3064,2,11
MS6903,RI4113,1,5
PR2255,DA2461,2,12
FN4713,4C2453,2,13
CH5410,MC1631,3,15
PV2109,PM2786,2,10
CM1235,MS6903,2,9
VA9994,CO2340,29,169
VA9994,RT1803,2,11
VA9994,ER7208,2,12
GA3330,CM1235,2,7
SX2214,RG3293,3,13
SX2214,AGAS1,3,15
9A2814,CO3177,2,11
MSB1,BR1165,4,23
TOR4,GU2226,2,10
ST1547,FN1845,2,12
MT2299,SR1212,3,18
FS1324,AS2101,25,145
AC3052,EL1156,2,8
JMA,BG2959,2,10
AL1204,FT3333,3,19
AL1204,JMA,2,8
CR2601,PF3284,4,23
RSH,SP1779,84,502
NE8738,ML3207,3,17
NE8738,MA5590,6,31
PF3284,JRC3,2,11
PF3284,LME1,1,7
TV3777,FR8784,2,7
DP3366,PREP2,24,141
DP3366,SA6039,42,253
DP3366,CALE,2,9
ABX2,BR1165,3,13
CALE,1B2611,1,6
CALE,BS6325,2,12
1SBNT,MS2,2,12
1SBNT,PL1442,X,9
SA,PF4735,2,12
NV1187,PD1337,2,12
TPEN,SEMR,2,8
HR2915,RF2899,2,8
CHC1,GU2451,46,276
GEST,BA1571,2,10
SGMC2,GL2576,3,14
ST2136,BR2411,2,11
ST2136,STLN1,2,10
ZO1512,ES2082,4,19
ZO1512,AS3038,42,250
ZO1512,MP1767,57,342
PN1817,MF7909,2,8
BR2743,ZO1512,3,16
BR2743,PR1149,4,22
FCA,PL2535,2,10
FCA,NOC,X,8
PREP2,BI1585,2,9
MP1767,PM5953,46,274
AM7935,PL3146,2,9
SP2072,AVF2,22,128
SP2072,RA2114,19,109
SP2072,RM1146,2,10
SS9053,CV1289,4,22
SS9053,SA8592,1,6
MP8020,RD2814,3,16
MP8020,MN3358,4,25
MP8020,CS9997,2,10
LGM2,AL2408,2,9
LGM2,AE8238,3,13
BH1080,CO7356,3,14
CB2646,CR1236,3,14
BCNT,CN8102,1,5
AP2370,PL1576,2,7
AP2370,SP4,X,10
AP2370,SP1779,X,11
PL3146,AN3138,3,15
RD2814,RG8030,5,30
CSSH1,VG1628,3,13
PD2401,GO6161,3,14
PD2401,BR2924,2,10
RO1870,AR8113,1,6
BTC2,FR3344,3,15
PR7649,RU2015,4,23
EF3008,CR3043,2,12
BFB,RC1616,2,11
DA2461,FR3344,3,15
MRS2,BVCM3,4,24
MRS2,BC2653,4,21
MRS2,CM1725,3,14
CE2298,PR3366,3,18
CE2298,RPR,2,12
SC1341,ES1200,3,13
SC1341,TXP1,5,28
JA1259,AB1494,2,11
MT2844,CN2881,4,21
BRRS,TCVC,2,11
PCRJ1,JFC,2,8
VL1487,FB3242,2,10
BN7548,ICAM2,3,14
BN7548,FR3216,5,28
GD1451,GU2451,91,542
GD1451,PR2490,2,12
AL2223,AM7935,2,8
ICAM2,MC2794,1,6
ILH2,CR2384,3,13
LE3860,COEM,3,14
LE3860,TPEN,2,11
VR1733,FR1174,4,20
DJ1,CFM,3,16
RCT2,OG1585,2,11
FV2324,CSC,3,15
LW3241,SV3016,2,12
PN8585,BC3087,3,17
PC9404,NV1187,2,9
FR3216,RSH,2,8
EZ2480,PR1401,2,11
EZ2480,LION1,35,207
PR1401,LD2795,3,14
STCT,TPR,1,6
RC1616,BR2518,2,12
PN1338,SR2078,2,11
NVT,SRGB1,1,7
VAL1,LE3860,3,15
VAL1,VAL,2,11
AA1146,1SBNT1,2,11
AA1146,MS2,3,18
AA1146,PRDJ2,2,12
AC2008,AG2210,4,22
PQ5832,VL1487,2,8
RA2810,PR7649,3,13
RA2810,EZ2480,2,10
RA2810,CO1721,9,50
RA2810,RBSS2,13,77
AR3169,JA1326,3,15
